id,name,region
105,"Senador Sá","Sertão de Sobral"
106,"Sobral","Sertão de Sobral"
107,"Varjota","Sertão de Sobral"
108,"Acaraú","Litoral Norte"
109,"Barroquinha","Litoral Norte"
110,"Bela Cruz","Litoral Norte"
111,"Camocim","Litoral Norte"
112,"Chaval","Litoral Norte"
113,"Cruz","Litoral Norte"
114,"Granja","Litoral Norte"
115,"Itarema","Litoral Norte"
116,"Jijoca de Jericoacoara","Litoral Norte"
117,"Marco","Litoral Norte"
118,"Martinópole","Litoral Norte"
119,"Morrinhos","Litoral Norte"
120,"Uruoca","Litoral Norte"
121,"Aiuaba","Sertão dos Inhamuns"
122,"Arneiroz","Sertão dos Inhamuns"
123,"Parambu","Sertão dos Inhamuns"
124,"Quiterianópolis","Sertão dos Inhamuns"
125,"Tauá","Sertão dos Inhamuns"
126,"Ararendá","Sertão dos Crateús"
127,"Catunda","Sertão dos Crateús"
128,"Crateús","Sertão dos Crateús"
129,"Hidrolândia","Sertão dos Crateús"
130,"Independência","Sertão dos Crateús"
131,"Ipaporanga","Sertão dos Crateús"
132,"Ipueiras","Sertão dos Crateús"
133,"Monsenhor Tabosa","Sertão dos Crateús"
134,"Nova Russas","Sertão dos Crateús"
135,"Novo Oriente","Sertão dos Crateús"
136,"Poranga","Sertão dos Crateús"
137,"Santa Quitéria","Sertão dos Crateús"
138,"Tamboril","Sertão dos Crateús"
139,"Boa Viagem","Sertão de Canindé"
140,"Canindé","Sertão de Canindé"
141,"Caridade","Sertão de Canindé"
142,"Itatira","Sertão de Canindé"
143,"Madalena","Sertão de Canindé"
144,"Paramoti","Sertão de Canindé"
145,"Alto Santo","Vale do Jaguaribe"
146,"Ererê","Vale do Jaguaribe"
147,"Iracema","Vale do Jaguaribe"
148,"Jaguaretama","Vale do Jaguaribe"
149,"Jaguaribara","Vale do Jaguaribe"
150,"Jaguaribe","Vale do Jaguaribe"
151,"Limoeiro do Norte","Vale do Jaguaribe"
152,"Morada Nova","Vale do Jaguaribe"
153,"Palhano","Vale do Jaguaribe"
154,"Pereiro","Vale do Jaguaribe"
155,"Potiretama","Vale do Jaguaribe"
156,"Quixeré","Vale do Jaguaribe"
157,"Russas","Vale do Jaguaribe"
158,"São João do Jaguaribe","Vale do Jaguaribe"
159,"Tabuleiro do Norte","Vale do Jaguaribe"
160,"Aracati","Litoral Leste"
161,"Beberibe","Litoral Leste"
162,"Fortim","Litoral Leste"
163,"Icapuí","Litoral Leste"
164,"Itaiçaba","Litoral Leste"
165,"Jaguaruana","Litoral Leste"
166,"Aquiraz","Grande Fortaleza"
167,"Cascavel","Grande Fortaleza"
168,"Caucaia","Grande Fortaleza"
169,"Chorozinho","Grande Fortaleza"
170,"Eusébio","Grande Fortaleza"
171,"Fortaleza","Grande Fortaleza"
172,"Guaiúba","Grande Fortaleza"
173,"Horizonte","Grande Fortaleza"
174,"Itaitinga","Grande Fortaleza"
175,"Maracanaú","Grande Fortaleza"
176,"Maranguape","Grande Fortaleza"
177,"Pacajus","Grande Fortaleza"
178,"Pacatuba","Grande Fortaleza"
179,"Paracuru","Grande Fortaleza"
180,"Paraipaba","Grande Fortaleza"
181,"Pindoretama","Grande Fortaleza"
182,"São Gonçalo do Amarante","Grande Fortaleza"
183,"São Luis do Curu","Grande Fortaleza"
184,"Trairi","Grande Fortaleza"
